"filename", "language", "HTML", "JSON", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\38595\Desktop\Moje\GIT.hr\ProjectProfBaltazar\CSSIgre\Crtanje.css", "CSS", 0, 0, 0, 69, 0, 0, 69
"c:\Users\38595\Desktop\Moje\GIT.hr\ProjectProfBaltazar\HtmlIgre\Crtanje.html", "HTML", 33, 0, 0, 0, 0, 3, 36
"c:\Users\38595\Desktop\Moje\GIT.hr\ProjectProfBaltazar\HtmlIgre\PadajucaIgra.html", "HTML", 64, 0, 0, 0, 0, 2, 66
"c:\Users\38595\Desktop\Moje\GIT.hr\ProjectProfBaltazar\HtmlIgre\SkupljanjeBodova.html", "HTML", 74, 0, 0, 0, 0, 2, 76
"c:\Users\38595\Desktop\Moje\GIT.hr\ProjectProfBaltazar\SkripteIgre\Crtanje.js", "JavaScript", 0, 0, 218, 0, 2, 35, 255
"c:\Users\38595\Desktop\Moje\GIT.hr\ProjectProfBaltazar\SkripteIgre\PadajucaIgra.js", "JavaScript", 0, 0, 101, 0, 5, 22, 128
"c:\Users\38595\Desktop\Moje\GIT.hr\ProjectProfBaltazar\SkripteIgre\SkupljanjeBodova.js", "JavaScript", 0, 0, 150, 0, 0, 33, 183
"c:\Users\38595\Desktop\Moje\GIT.hr\ProjectProfBaltazar\SkripteMediaPipe\camera_utils.js", "JavaScript", 0, 0, 19, 0, 4, 0, 23
"c:\Users\38595\Desktop\Moje\GIT.hr\ProjectProfBaltazar\SkripteMediaPipe\control_utils.js", "JavaScript", 0, 0, 58, 0, 7, 0, 65
"c:\Users\38595\Desktop\Moje\GIT.hr\ProjectProfBaltazar\SkripteMediaPipe\drawing_utils.js", "JavaScript", 0, 0, 9, 0, 4, 0, 13
"c:\Users\38595\Desktop\Moje\GIT.hr\ProjectProfBaltazar\SkripteMediaPipe\hands.js", "JavaScript", 0, 0, 91, 0, 4, 0, 95
"c:\Users\38595\Desktop\Moje\GIT.hr\ProjectProfBaltazar\package-lock.json", "JSON", 0, 2868, 0, 0, 0, 1, 2869
"c:\Users\38595\Desktop\Moje\GIT.hr\ProjectProfBaltazar\package.json", "JSON", 0, 8, 0, 0, 0, 1, 9
"c:\Users\38595\Desktop\Moje\GIT.hr\ProjectProfBaltazar\temp.html", "HTML", 123, 0, 0, 0, 0, 10, 133
"Total", "-", 294, 2876, 646, 69, 26, 109, 4020